Response ID,Response Status,Seq. Number,What is your gender?,What is your age?,What is your monthly income (HKD)?,Which food and product delivery platform do you use most?,How much do you spend when ordering through Foodpanda?,How often do you use Foodpanda app for food delivery?,Which do you prefer ordering more frequently?,Speed of delivery,Choice of food variety,Food quality,Customer service,What is the most important when you consider a order from Foodpanda?,How did you first learn about Foodpanda?,How often do you take advantage of promotions or discounts offered by Foodpanda? ,How would you rate the overall pricing of Foodpanda?,Which payment option you would like to see added?,What is the biggest disadvantage you have experienced with Foodpanda?,What is the most significant improvement would you like the see in Foodpanda?,Would you consider switching to a competitor (Keeta) if they offered better discounts?,How satisfied are you with the overall experience of using the Foodpanda app?,Would you consider using Foodpanda more frequently in the future?,How likely are you to recommend Foodpanda to friends or family?
,,,,,,,,,,Speed of delivery,Choice of food variety,Food quality,Customer service,,,,,,,,,,,
164649629,Completed,1,1,2,1,1,4,3,1,4,3,4,3,2,1,3,4,2,2,4,1,2,2,3
164649659,Completed,1,1,2,1,1,3,2,1,4,4,5,5,3,1,3,3,2,3,3,1,4,1,5
164650552,Completed,1,1,3,3,2,3,3,2,1,1,1,1,3,3,4,4,4,4,3,2,4,2,4
164650614,Completed,1,1,3,2,1,2,2,2,5,5,5,5,2,2,3,3,4,3,3,1,3,1,4
164650854,Completed,1,2,3,4,2,3,3,1,5,5,5,5,4,2,2,3,4,4,4,1,4,1,4
164651007,Completed,1,2,2,1,2,4,4,1,3,3,3,3,1,1,3,4,5,3,3,1,3,2,3
164761524,Completed,1,1,2,2,2,4,3,1,4,4,5,5,3,1,3,2,4,3,3,1,4,1,4
164762897,Completed,1,2,4,3,1,4,3,2,3,3,3,4,1,3,3,4,1,1,1,1,5,1,5
164763074,Completed,1,1,1,1,3,1,2,1,3,3,4,5,2,1,4,2,4,4,4,2,3,1,5
164763298,Completed,1,2,2,2,1,4,1,2,3,4,4,4,3,2,2,5,2,3,3,1,4,1,3
164763694,Completed,1,1,2,2,2,4,3,1,3,3,3,4,2,2,1,1,3,4,4,2,3,1,5
164763746,Completed,1,2,2,3,1,3,4,2,4,4,4,4,3,2,3,4,4,3,3,1,4,1,5
164764013,Completed,1,1,2,2,2,4,4,1,4,4,4,5,2,1,5,1,5,2,2,2,3,2,3
164766321,Completed,1,1,2,1,1,2,4,1,3,5,4,5,2,3,2,3,4,3,3,1,3,2,4
164766726,Completed,1,1,2,2,1,4,4,1,4,4,4,5,3,3,3,4,4,3,3,1,5,1,5
164768089,Completed,1,1,2,1,1,1,2,1,4,4,4,4,2,2,2,3,2,4,3,2,4,1,4
164768109,Completed,1,1,2,1,2,2,3,1,4,4,4,4,2,1,3,4,1,3,2,1,3,1,5
164770207,Completed,1,2,2,2,2,2,2,2,3,3,3,3,2,1,5,2,3,1,4,1,2,2,2
164770361,Completed,1,1,2,1,2,1,4,1,3,3,2,3,2,1,3,3,2,3,1,1,3,1,3
164771110,Completed,1,2,2,1,1,1,2,1,3,3,3,3,2,2,4,2,2,3,2,1,3,1,3
164771780,Completed,1,1,2,1,2,1,1,1,4,4,4,4,1,1,3,3,4,2,3,1,4,1,3
164771791,Completed,1,1,3,2,1,1,5,1,3,3,2,3,2,2,3,2,2,1,2,1,3,2,1
164771920,Completed,1,2,2,2,1,1,2,1,4,4,5,4,2,3,3,5,1,4,4,1,4,1,4
164772038,Completed,1,1,2,3,1,4,1,1,3,4,5,3,1,1,4,3,2,3,3,1,4,1,3
164772045,Completed,1,2,2,1,2,1,4,1,4,2,4,3,2,2,5,4,5,3,3,1,2,2,2
164772159,Completed,1,1,3,3,2,2,3,1,4,4,4,4,4,3,1,3,3,1,1,1,5,1,5
164772900,Completed,1,2,2,2,1,2,2,1,4,4,5,4,3,3,2,3,2,2,2,2,3,1,3
164772963,Completed,1,2,2,1,2,2,4,1,3,3,3,3,2,1,4,4,5,3,3,1,3,2,2
164774271,Completed,1,2,2,1,2,2,4,1,5,4,4,4,1,1,4,4,2,3,3,1,3,2,3
164775061,Completed,1,1,2,2,1,3,4,1,4,4,4,4,3,2,2,2,4,4,4,2,4,1,4
164776537,Completed,1,2,2,2,1,3,3,2,4,4,5,5,2,2,3,2,5,3,3,2,3,1,5
164776577,Completed,1,1,2,1,2,4,2,1,3,3,3,3,2,2,2,4,3,1,1,2,3,1,4
164776881,Completed,1,1,2,2,1,1,3,1,4,3,5,5,1,2,4,3,1,3,3,1,4,1,4
164777166,Completed,1,1,3,3,1,2,3,1,4,4,4,4,1,1,3,1,3,2,2,1,3,1,3
164777235,Completed,1,1,2,1,1,2,3,1,3,3,3,3,3,1,2,3,4,2,3,1,3,2,2
164777496,Completed,1,1,2,1,2,2,4,1,5,4,4,5,2,1,4,3,2,2,2,2,2,1,3
164786858,Completed,1,1,2,1,1,1,4,2,5,4,5,4,1,1,3,3,2,3,1,1,3,1,3
