"Data Export Generated on Wed Mar 26 05:18:03 PDT 2025"
"Survey ID 12838980"
"Dashboard Name My Dashboard"
"Response ID","Response Status","IP Address","Timestamp (mm/dd/yyyy)","Duplicate","Time Taken to Complete (Seconds)","Seq. Number","External Reference","Custom Variable 1","Custom Variable 2","Custom Variable 3","Custom Variable 4","Custom Variable 5","Respondent Email","Email List","Country Code","Region","1. What is your gender?","2. What is your age?","3. Have you use Foodpanda before?","4. How often do you order from Foodpanda monthly? ","5. How much would you spend per meal order? (include delivery fee)","6.  How much do you spend on groceries (eg. Household supplies) per month using FoodPanda?","7. Which do you prefer ordering more frequently?","8. How would you rate the quality of the food delivered?","Delivery time ","Customer service","Variety of options","User interface of the app","10. How often do you take advantage of promotions or discounts offered by Foodpanda? ","11. Have you ever experienced issues with order accuracy? (eg. Wrong order) If so please describe:","12. Have you ever needed to contact customer support? If yes how was your experience? (please give 5-15 words)","13. Are there any payment options you would like to see added?","","","","","14. Which disadvantage do you think Foodpanda has when comparing to Keeta (competitor) ? (At most 3 options)","","","","","","15. What improvements would you like to see in Foodpanda? (At most 3 options)","","","","","","16. How likely are you to recommend Foodpanda to friends or family?","17. Would you consider switching to a competitor (e.g. Keeta Uber Eats) if they offered better discounts?(open-end question)",""
"","","","","","","","","","","","","","","","","","","","","","","","","","Delivery time ","Customer service","Variety of options","User interface of the app","","","","Digital Wallet (e.g., PayPal, Apple Pay, Alipay)","China UnionPay","Octopus card","Bank Transfer (eg.FPS)","Tap&Go","Higher delivery fee","Poor customer support response times performance","Lacking promotional offers","Slower delivery speed","Limited payment options","Difficulty tracking orders","Better delivery speed","More restaurant options","Improved app functionality","More promotions","Better customer service","Other (Please specific):","","",""
"163400851","Completed","124.217.188.160","03/22/2025 18:52:39","0","398","1","","","","","","","","","","","Male","19","No","Never ","Under $100 ","Less than $1000","Meals","Neutral","Very important ","Slightly important","Very important ","Moderately important ","Sometimes ","No","No"," Digital Wallet (e.g., PayPal, Apple Pay, Alipay)","","","",""," Higher delivery fee","","","","Limited payment options ","","","More restaurant options","Improved app functionality","","","","Unlikely ","Yes, i would order in the platform that give more favours to me, because the food of restaurant are the same for all delivery platforms, price is the most important determine factor.",""
"163402026","Completed","1.65.203.175","03/22/2025 18:55:36","0","205","1","","","","","","","","","","","Male","19","Yes","Rarely ","Under $100 ","Less than $1000","Meals","Satisfied","Moderately important ","Very important ","Extreme important ","Extreme important ","Often ","Utensils missing","No"," Digital Wallet (e.g., PayPal, Apple Pay, Alipay)","China UnionPay ","Octopus card"," Bank Transfer (eg.FPS)","Tap&Go "," Higher delivery fee","","","","","","","","Improved app functionality","More promotions","","","Likely ","In the perspective of a consumer, I would consider switching to FoodPanda’s competitor if there are better deals or more discounts",""
"163421960","Completed","14.198.160.207","03/22/2025 19:54:10","0","114","1","","","","","","","","","","","Male","19","Yes","Monthly "," $101-$200","$1001 - $2000","Meals","Satisfied","Very important ","Very important ","Extreme important ","Extreme important ","Sometimes ","no","no"," Digital Wallet (e.g., PayPal, Apple Pay, Alipay)","","Octopus card"," Bank Transfer (eg.FPS)",""," Higher delivery fee","","","","","","","","","More promotions","","","Likely ","",""
"163456227","Completed","203.218.253.109","03/22/2025 21:01:36","0","141","1","","","","","","","","","","","Female","19","Yes","Monthly ","Under $100 ","Less than $1000","Meals","Unsatisfied","Extreme important ","Very important ","Extreme important ","Moderately important ","Always","wrong delivery address","ys, bad experience"," Digital Wallet (e.g., PayPal, Apple Pay, Alipay)","","","",""," Higher delivery fee"," Poor customer support response times performance",""," Slower delivery speed","","","Better delivery speed","","","More promotions","Better customer service","","Very unlikely ","ys",""
"163691430","Completed","14.199.177.220","03/23/2025 17:23:16","0","189","1","","","","","","","","","","","Female","20","Yes","Weekly "," $101-$200","Less than $1000","Meals","Satisfied","Moderately important ","Moderately important ","Moderately important ","Moderately important ","Rarely ","no","Yes, give wrong "," Digital Wallet (e.g., PayPal, Apple Pay, Alipay)","","","",""," Higher delivery fee","","","","","","","More restaurant options","","","Better customer service","","Likely ","Keeta",""
"163699277","Completed","59.148.107.210","03/23/2025 17:45:28","0","110","1","","","","","","","","","","","Male","23","Yes","Monthly ","Under $100 ","Less than $1000","Meals","Neutral","Slightly important","Slightly important","Slightly important","Slightly important","Often ","No","No","","","Octopus card","","","","","","","Limited payment options ","","","","","More promotions","","","Neutral ","",""
"163723754","Completed","14.198.160.207","03/23/2025 18:52:26","0","105","1","","","","","","","","","","","Female","19","Yes","Monthly ","$201-$300 ","$2001 - $3000","Both equally","Satisfied","Very important ","Very important ","Very important ","Very important ","Sometimes ","no","no","","China UnionPay ",""," Bank Transfer (eg.FPS)",""," Higher delivery fee",""," Lacking promotional offers","","Limited payment options ","","","More restaurant options","","More promotions","","","Likely ","",""
"163773213","Completed","14.198.160.207","03/23/2025 23:04:54","0","73","1","","","","","","","","","","","Female","19","Yes","Monthly "," $101-$200","$1001 - $2000","Groceries","Satisfied","Very important ","Very important ","Very important ","Very important ","Sometimes ","no","no"," Digital Wallet (e.g., PayPal, Apple Pay, Alipay)","","Octopus card"," Bank Transfer (eg.FPS)",""," Higher delivery fee",""," Lacking promotional offers","","","","","","Improved app functionality","More promotions","","","Very likely ","",""
"163773330","Completed","14.198.160.207","03/23/2025 23:06:29","0","88","1","","","","","","","","","","","Male","19","Yes","Weekly ","$201-$300 ","$1001 - $2000","Meals","Very Satisfied","Extreme important ","Extreme important ","Very important ","Very important ","Often ","wrong order","No","","","Octopus card"," Bank Transfer (eg.FPS)",""," Higher delivery fee",""," Lacking promotional offers","","Limited payment options ","","","More restaurant options","Improved app functionality","More promotions","","","Likely ","",""
