"Data Export Generated on Wed Mar 26 05:52:26 PDT 2025"
"Survey ID 12838980"
"Dashboard Name My Dashboard"
"Response ID","Response Status","IP Address","Timestamp (mm/dd/yyyy)","Duplicate","Time Taken to Complete (Seconds)","Seq. Number","External Reference","Custom Variable 1","Custom Variable 2","Custom Variable 3","Custom Variable 4","Custom Variable 5","Respondent Email","Email List","Country Code","Region","Country","Longitude","Latitude","Radius","Browser","Device","Operating System","Language","Block Order","Question Order","1 - Q1","2 - Q2","3 - Q3","4 - Q7","5 - Q13","6 - Q16","7 - Q17","8 - Q4","9 - Q6 - Delivery time ","9 - Q6 - Customer service","9 - Q6 - Variety of options","9 - Q6 - User interface of the app","10 - Q9","11 - Q14","12 - Q8","13 - Q10 - Digital Wallet (e.g., PayPal, Apple Pay, Alipay)","13 - Q10 - China UnionPay","13 - Q10 - Octopus card","13 - Q10 - Bank Transfer (eg.FPS)","13 - Q10 - Tap&Go","14 - Q11 - Higher delivery fee","14 - Q11 - Poor customer support response times performance","14 - Q11 - Lacking promotional offers","14 - Q11 - Slower delivery speed","14 - Q11 - Limited payment options","14 - Q11 - Difficulty tracking orders","15 - Q5 - Better delivery speed","15 - Q5 - More restaurant options","15 - Q5 - Improved app functionality","15 - Q5 - More promotions","15 - Q5 - Better customer service","15 - Q5 - Other (Please specific):","16 - Q12","17 - Q15",""
"163400851","Completed","124.217.188.160","03/22/2025 18:52:39","0","398","1","","","","","","","","","","","","0.0","0.0","0.0","CHROME_MOBILE","MOBILE","ANDROID1","English","Block 1","Q1 | Q2 | Q3 | Q7 | Q13 | Q16 | Q17 | Q4 | Q6 | Q9 | Q14 | Q8 | Q10 | Q11 | Q5 | Q12 | Q15","1","19","2","5","1","1","1","3","4","2","4","3","3","No","No","1","","","","","1","","","","1","","","1","1","","","","4","Yes, i would order in the platform that give more favours to me, because the food of restaurant are the same for all delivery platforms, price is the most important determine factor.",""
"163402026","Completed","1.65.203.175","03/22/2025 18:55:36","0","205","1","","","","","","","","","","","","0.0","0.0","0.0","MOBILE_SAFARI","MOBILE","MAC_OS_X_IPHONE","English","Block 1","Q1 | Q2 | Q3 | Q7 | Q13 | Q16 | Q17 | Q4 | Q6 | Q9 | Q14 | Q8 | Q10 | Q11 | Q5 | Q12 | Q15","1","19","1","4","1","1","1","4","3","4","5","5","2","Utensils missing","No","1","1","1","1","1","1","","","","","","","","1","1","","","2","In the perspective of a consumer, I would consider switching to FoodPanda’s competitor if there are better deals or more discounts",""
"163421960","Completed","14.198.160.207","03/22/2025 19:54:10","0","114","1","","","","","","","","","","","","0.0","0.0","0.0","MOBILE_SAFARI","MOBILE","MAC_OS_X_IPHONE","English","Block 1","Q1 | Q2 | Q3 | Q7 | Q13 | Q16 | Q17 | Q4 | Q6 | Q9 | Q14 | Q8 | Q10 | Q11 | Q5 | Q12 | Q15","1","19","1","3","2","2","1","4","4","4","5","5","3","no","no","1","","1","1","","1","","","","","","","","","1","","","2","",""
"163456227","Completed","203.218.253.109","03/22/2025 21:01:36","0","141","1","","","","","","","","","","","","0.0","0.0","0.0","SAFARI","COMPUTER","MAC_OS_X","English","Block 1","Q1 | Q2 | Q3 | Q7 | Q13 | Q16 | Q17 | Q4 | Q6 | Q9 | Q14 | Q8 | Q10 | Q11 | Q5 | Q12 | Q15","2","19","1","3","1","1","1","2","5","4","5","3","1","wrong delivery address","ys, bad experience","1","","","","","1","1","","1","","","1","","","1","1","","5","ys",""
"163691430","Completed","14.199.177.220","03/23/2025 17:23:16","0","189","1","","","","","","","","","","","","0.0","0.0","0.0","MOBILE_SAFARI","MOBILE","MAC_OS_X_IPHONE","English","Block 1","Q1 | Q2 | Q3 | Q7 | Q13 | Q16 | Q17 | Q4 | Q6 | Q9 | Q14 | Q8 | Q10 | Q11 | Q5 | Q12 | Q15","2","20","1","2","2","1","1","4","3","3","3","3","4","no","Yes, give wrong ","1","","","","","1","","","","","","","1","","","1","","2","Keeta",""
"163699277","Completed","59.148.107.210","03/23/2025 17:45:28","0","110","1","","","","","","","","","","","","0.0","0.0","0.0","CHROME_MOBILE","MOBILE","ANDROID1","English","Block 1","Q1 | Q2 | Q3 | Q7 | Q13 | Q16 | Q17 | Q4 | Q6 | Q9 | Q14 | Q8 | Q10 | Q11 | Q5 | Q12 | Q15","1","23","1","3","1","1","1","3","2","2","2","2","2","No","No","","","1","","","","","","","1","","","","","1","","","3","",""
"163723754","Completed","14.198.160.207","03/23/2025 18:52:26","0","105","1","","","","","","","","","","","","0.0","0.0","0.0","MOBILE_SAFARI","MOBILE","MAC_OS_X_IPHONE","English","Block 1","Q1 | Q2 | Q3 | Q7 | Q13 | Q16 | Q17 | Q4 | Q6 | Q9 | Q14 | Q8 | Q10 | Q11 | Q5 | Q12 | Q15","2","19","1","3","3","3","3","4","4","4","4","4","3","no","no","","1","","1","","1","","1","","1","","","1","","1","","","2","",""
"163773213","Completed","14.198.160.207","03/23/2025 23:04:54","0","73","1","","","","","","","","","","","","0.0","0.0","0.0","MOBILE_SAFARI","MOBILE","MAC_OS_X_IPHONE","English","Block 1","Q1 | Q2 | Q3 | Q7 | Q13 | Q16 | Q17 | Q4 | Q6 | Q9 | Q14 | Q8 | Q10 | Q11 | Q5 | Q12 | Q15","2","19","1","3","2","2","2","4","4","4","4","4","3","no","no","1","","1","1","","1","","1","","","","","","1","1","","","1","",""
"163773330","Completed","14.198.160.207","03/23/2025 23:06:29","0","88","1","","","","","","","","","","","","0.0","0.0","0.0","MOBILE_SAFARI","MOBILE","MAC_OS_X_IPHONE","English","Block 1","Q1 | Q2 | Q3 | Q7 | Q13 | Q16 | Q17 | Q4 | Q6 | Q9 | Q14 | Q8 | Q10 | Q11 | Q5 | Q12 | Q15","1","19","1","2","3","2","1","5","5","5","4","4","2","wrong order","No","","","1","1","","1","","1","","1","","","1","1","1","","","2","",""
"163814859","Completed","158.182.255.21","03/24/2025 09:01:06","0","105","1","","","","","","","","","","","","0.0","0.0","0.0","MOBILE_SAFARI","MOBILE","MAC_OS_X_IPHONE","English","Block 1","Q1 | Q2 | Q3 | Q7 | Q13 | Q16 | Q17 | Q4 | Q6 | Q9 | Q14 | Q8 | Q10 | Q11 | Q5 | Q12 | Q15","2","20","2","5","1","1","3","3","3","3","3","3","3","no","no","1","","1","","","1","","","","","","1","1","","1","","","3","yes",""
"163824791","Completed","158.182.0.121","03/24/2025 12:27:52","0","116","1","","","","","","","","","","","","0.0","0.0","0.0","CHROME13","COMPUTER","WINDOWS_10","English","Block 1","Q1 | Q2 | Q3 | Q7 | Q13 | Q16 | Q17 | Q4 | Q6 | Q9 | Q14 | Q8 | Q10 | Q11 | Q5 | Q12 | Q15","2","21","2","5","1","1","1","3","3","3","4","3","4","no","no","1","","","","1","1","","","","","1","","","1","1","1","","3","",""
"163840093","Completed","14.0.180.109","03/24/2025 14:13:47","0","552","1","","","","","","","","","","","","0.0","0.0","0.0","APPLE_WEB_KIT","MOBILE","MAC_OS_X_IPHONE","English","Block 1","Q1 | Q2 | Q3 | Q7 | Q13 | Q16 | Q17 | Q4 | Q6 | Q9 | Q14 | Q8 | Q10 | Q11 | Q5 | Q12 | Q15","1","19","1","3","3","1","1","3","4","3","5","3","2","Missed some food and drinks or soup splash out of the containers.","Yes, although they offered me some coupons or discounts, I was still not satisfied and disappointed.","1","","","1","","1","","","","","","","","","1","1","","3","Of course",""
"163841100","Completed","14.0.158.90","03/24/2025 14:17:22","0","123","1","","","","","","","","","","","","0.0","0.0","0.0","APPLE_WEB_KIT","MOBILE","MAC_OS_X_IPHONE","English","Block 1","Q1 | Q2 | Q3 | Q7 | Q13 | Q16 | Q17 | Q4 | Q6 | Q9 | Q14 | Q8 | Q10 | Q11 | Q5 | Q12 | Q15","1","19","1","3","2","1","1","4","4","3","4","4","3","No","No","","","1","1","","1","","","","","1","1","","1","1","","","4","Yes",""
