Data Export Generated on Wed Mar 26 23:08:01 PDT 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Survey ID 12877482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dashboard Name My Dashboard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Response ID,Response Status,IP Address,Timestamp (mm/dd/yyyy),Duplicate,Time Taken to Complete (Seconds),Seq. Number,External Reference,Custom Variable 1,Custom Variable 2,Custom Variable 3,Custom Variable 4,Custom Variable 5,Respondent Email,Email List,Country Code,Region,What is your gender?,What is your age?,What is your monthly income (HKD)?,Which food and product delivery platform do you use most?,How much do you spend when ordering through Foodpanda?,How often do you use Foodpanda app for food delivery?,Which do you prefer ordering more frequently?,Speed of delivery,Choice of food variety,Food quality,Customer service,What is the most important when you consider a order from Foodpanda?,How did you first learn about Foodpanda?,How often do you take advantage of promotions or discounts offered by Foodpanda? ,How would you rate the overall pricing of Foodpanda?,Which payment option you would like to see added?,What is the biggest disadvantage you have experienced with Foodpanda?,What is the most significant improvement would you like the see in Foodpanda?,Would you consider switching to a competitor (Keeta) if they offered better discounts?,How satisfied are you with the overall experience of using the Foodpanda app?,Would you consider using Foodpanda more frequently in the future?,How likely are you to recommend Foodpanda to friends or family?
,,,,,,,,,,,,,,,,,,,,,,,,Speed of delivery,Choice of food variety,Food quality,Customer service,,,,,,,,,,,
164649629,Completed,14.199.177.220,3/26/2025 23:21,0,80,1,,,,,,,,,,,1,2,1,1,4,3,1,4,3,4,3,2,1,3,4,2,2,4,1,2,2,3
164649659,Completed,14.198.160.207,3/26/2025 23:21,0,152,1,,,,,,,,,,,1,2,1,1,3,2,1,4,4,5,5,3,1,3,3,2,3,3,1,4,1,5
164650552,Completed,210.6.81.176,3/26/2025 23:25,0,45,1,,,,,,,,,,,1,3,3,2,3,3,2,1,1,1,1,3,3,4,4,4,4,3,2,4,2,4
164650614,Completed,210.6.81.176,3/26/2025 23:25,0,62,1,,,,,,,,,,,1,3,2,1,2,2,2,5,5,5,5,2,2,3,3,4,3,3,1,3,1,4
164650854,Completed,210.6.81.176,3/26/2025 23:26,0,111,1,,,,,,,,,,,2,3,4,2,3,3,1,5,5,5,5,4,2,2,3,4,4,4,1,4,1,4
164651007,Completed,14.199.177.220,3/26/2025 23:27,0,160,1,,,,,,,,,,,2,2,1,2,4,4,1,3,3,3,3,1,1,3,4,5,3,3,1,3,2,3
164761524,Completed,14.198.160.207,3/27/2025 8:20,0,84,1,,,,,,,,,,,1,2,2,2,4,3,1,4,4,5,5,3,1,3,2,4,3,3,1,4,1,4
164762897,Completed,182.239.121.22,3/27/2025 8:37,0,108,1,,,,,,,,,,,2,4,3,1,4,3,2,3,3,3,4,1,3,3,4,1,1,1,1,5,1,5
164763074,Completed,182.239.121.22,3/27/2025 8:39,0,124,1,,,,,,,,,,,1,1,1,3,1,2,1,3,3,4,5,2,1,4,2,4,4,4,2,3,1,5
164763298,Completed,182.239.121.22,3/27/2025 8:42,0,153,1,,,,,,,,,,,2,2,2,1,4,1,2,3,4,4,4,3,2,2,5,2,3,3,1,4,1,3
164763694,Completed,182.239.121.22,3/27/2025 8:47,0,88,1,,,,,,,,,,,1,2,2,2,4,3,1,3,3,3,4,2,2,1,1,3,4,4,2,3,1,5
164763746,Completed,182.239.121.22,3/27/2025 8:48,0,51,1,,,,,,,,,,,2,2,3,1,3,4,2,4,4,4,4,3,2,3,4,4,3,3,1,4,1,5
164764013,Completed,182.239.121.22,3/27/2025 8:52,0,224,1,,,,,,,,,,,1,2,2,2,4,4,1,4,4,4,5,2,1,5,1,5,2,2,2,3,2,3
164766321,Completed,1.65.203.175,3/27/2025 9:23,0,143,1,,,,,,,,,,,1,2,1,1,2,4,1,3,5,4,5,2,3,2,3,4,3,3,1,3,2,4
164766726,Completed,158.182.254.51,3/27/2025 9:28,0,49,1,,,,,,,,,,,1,2,2,1,4,4,1,4,4,4,5,3,3,3,4,4,3,3,1,5,1,5
164768089,Completed,112.120.135.195,3/27/2025 9:48,0,194,1,,,,,,,,,,,1,2,1,1,1,2,1,4,4,4,4,2,2,2,3,2,4,3,2,4,1,4
164768109,Completed,14.0.229.5,3/27/2025 9:48,0,116,1,,,,,,,,,,,1,2,1,2,2,3,1,4,4,4,4,2,1,3,4,1,3,2,1,3,1,5
164770207,Completed,158.182.254.111,3/27/2025 10:17,0,84,1,,,,,,,,,,,2,2,2,2,2,2,2,3,3,3,3,2,1,5,2,3,1,4,1,2,2,2
164770361,Completed,158.182.254.111,3/27/2025 10:19,0,100,1,,,,,,,,,,,1,2,1,2,1,4,1,3,3,2,3,2,1,3,3,2,3,1,1,3,1,3
